(416835588, 416828394, 0);(268440195, 268440181, 0)|7810.774
(416835588, 416835596, 0);(268440195, 268440181, 0)|8033.565
(416835591, 416835588, 0);(268440195, 268440181, 0)|7854.513
(416835596, 416835591, 0);(268440195, 268440181, 0)|7924.259
(416835599, 2414810212, 0);(268440195, 268440181, 0)|8156.255
(416835599, 416835407, 0);(268440195, 268440181, 0)|7649.416
(416835600, 416835609, 0);(268440195, 268440181, 0)|8002.24
(416835600, 416835599, 0);(268440195, 268440181, 0)|7655.266
(416835609, 416835600, 0);(268440195, 268440181, 0)|7828.753
(416835609, 416835610, 0);(268440195, 268440181, 0)|7915.941
(416835609, 416835621, 0);(268440195, 268440181, 0)|7975.125
(416835609, 416835613, 0);(268440195, 268440181, 0)|7835.472
(416835610, 416835609, 0);(268440195, 268440181, 0)|7872.347
(489779228, 382400880, 0);(268440195, 268440181, 0)|7308.281
(489779228, 1176965208, 0);(268440195, 268440181, 0)|6939.252
(489779228, 1837296346, 0);(268440195, 268440181, 0)|6868.17
(416835613, 416835600, 0);(268440195, 268440181, 0)|7736.227
(416835613, 416835609, 0);(268440195, 268440181, 0)|7927.998
(416835619, 416835613, 0);(268440195, 268440181, 0)|7808.213
(416835619, 416835621, 0);(268440195, 268440181, 0)|8002.47
(416835621, 416835609, 0);(268440195, 268440181, 0)|7901.939
(416835621, 416835619, 0);(268440195, 268440181, 0)|7908.744
(416835621, 416835629, 0);(268440195, 268440181, 0)|8023.133
(416835624, 3128759978, 0);(268440195, 268440181, 0)|7888.351
(416835629, 416835632, 0);(268440195, 268440181, 0)|8082.94
(416835629, 416835261, 0);(268440195, 268440181, 0)|8061.556
(416835629, 416835621, 0);(268440195, 268440181, 0)|7962.536
(416835632, 416835629, 0);(268440195, 268440181, 0)|8022.738
(1973825598, 776385575, 0);(268440195, 268440181, 0)|8232.889
(2704123977, 4234360282, 0);(268440195, 268440181, 0)|6771.886
(2704123977, 2704142910, 0);(268440195, 268440181, 0)|7016.084
(2077284430, 2077284433, 0);(268440195, 268440181, 0)|8573.821
(2077284431, 2077284430, 0);(268440195, 268440181, 0)|8604.367
(2077284433, 2077282471, 0);(268440195, 268440181, 0)|8552.423
(443011156, 443011210, 0);(268440195, 268440181, 0)|7295.478
(443011156, 443011191, 0);(268440195, 268440181, 0)|7270.732
(443011157, 443011224, 0);(268440195, 268440181, 0)|7268.449
(443011159, 443011225, 0);(268440195, 268440181, 0)|7209.614
(1176965208, 382400880, 0);(268440195, 268440181, 0)|6942.791
(1176965208, 382400880, 1);(268440195, 268440181, 0)|6978.544
(1176965208, 489779228, 0);(268440195, 268440181, 0)|6903.711
(443011169, 443011224, 0);(268440195, 268440181, 0)|7183.306
(443011173, 443011210, 0);(268440195, 268440181, 0)|7360.514
(416835261, 416835629, 0);(268440195, 268440181, 0)|8012.046
(416835261, 247123630, 0);(268440195, 268440181, 0)|8409.149
(416835261, 247123638, 0);(268440195, 268440181, 0)|8014.105
(443011191, 443010612, 0);(268440195, 268440181, 0)|7340.312
(443011191, 443011156, 0);(268440195, 268440181, 0)|7248.481
(443011191, 443010623, 0);(268440195, 268440181, 0)|7431.847
(443011199, 3124506050, 0);(268440195, 268440181, 0)|7430.138
(443011199, 443011205, 0);(268440195, 268440181, 0)|7381.114
(443011199, 443010655, 0);(268440195, 268440181, 0)|7373.478
(443011201, 443010608, 0);(268440195, 268440181, 0)|7150.688
(443011201, 3123452541, 0);(268440195, 268440181, 0)|7326.939
(443011201, 3123452543, 0);(268440195, 268440181, 0)|7254.147
(443011202, 443010676, 0);(268440195, 268440181, 0)|7281.657
(443011202, 443011205, 0);(268440195, 268440181, 0)|7367.082
(443011205, 443011202, 0);(268440195, 268440181, 0)|7349.894
(443011205, 443011211, 0);(268440195, 268440181, 0)|7298.845
(443011205, 443011199, 0);(268440195, 268440181, 0)|7455.747
(443011210, 443011211, 0);(268440195, 268440181, 0)|7303.636
(443011210, 443011156, 0);(268440195, 268440181, 0)|7260.854
(443011210, 443011173, 0);(268440195, 268440181, 0)|7455.298
(443011211, 443011210, 0);(268440195, 268440181, 0)|7282.245
(443011211, 443010626, 0);(268440195, 268440181, 0)|7481.179
(443011211, 443011205, 0);(268440195, 268440181, 0)|7315.445
(443011224, 443011225, 0);(268440195, 268440181, 0)|7167.823
(443011224, 443011157, 0);(268440195, 268440181, 0)|7271.661
(443011225, 443010606, 0);(268440195, 268440181, 0)|7148.322
(443011225, 443011159, 0);(268440195, 268440181, 0)|7205.006
(247123654, 4234360282, 0);(268440195, 268440181, 0)|6816.395
(247123654, 1181245124, 0);(268440195, 268440181, 0)|6714.791
(207720614, 207720615, 0);(268440195, 268440181, 0)|7657.831
(207720615, 1135834113, 0);(268440195, 268440181, 0)|7737.804
